"SID","article_number","atlas","global_mean","parameter_estimate","outlier","run","trial","article_cond","msg_share","msg_rel_self","msg_rel_social","trial_type","topic","site"
"BPA01","72","value",-0.246338471770287,-0.211475193500519,"no","2",58,"self",3,3,3,"read_self","climate","Netherlands"
"BPA01","72","auditory",-0.246338471770287,-0.434132695198059,"no","2",58,"self",3,3,3,"read_self","climate","Netherlands"
"BPA01","72","sensorimotor",-0.246338471770287,-0.461642146110535,"no","2",58,"self",3,3,3,"read_self","climate","Netherlands"
"BPA01","73","value",0.012933334335685,-0.30627104640007,"no","2",44,"self",3,3,3,"read_self","climate","Netherlands"
"BPA01","73","auditory",0.012933334335685,0.170067384839058,"no","2",44,"self",3,3,3,"read_self","climate","Netherlands"
"BPA01","73","sensorimotor",0.012933334335685,-0.178298026323318,"no","2",44,"self",3,3,3,"read_self","climate","Netherlands"
"BPA01","75","value",-0.252759277820587,-0.619310200214386,"no","2",71,"self",3,3,3,"read_self","health","Netherlands"
"BPA01","75","auditory",-0.252759277820587,0.250038653612137,"no","2",71,"self",3,3,3,"read_self","health","Netherlands"
"BPA01","75","sensorimotor",-0.252759277820587,-0.016394870355725,"no","2",71,"self",3,3,3,"read_self","health","Netherlands"
"BPA01","83","value",0.185716241598129,0.29843658208847,"no","2",43,"self",4,3,3,"read_self","health","Netherlands"
"BPA01","83","auditory",0.185716241598129,0.609378039836884,"no","2",43,"self",4,3,3,"read_self","health","Netherlands"
"BPA01","83","sensorimotor",0.185716241598129,-0.02667973190546,"no","2",43,"self",4,3,3,"read_self","health","Netherlands"
"BPA02","22","value",0.403071701526642,-0.048848565667868,"no","1",20,"control",2,1,2,"read_control","climate","Netherlands"
"BPA02","22","auditory",0.403071701526642,-0.052334502339363,"no","1",20,"control",2,1,2,"read_control","climate","Netherlands"
"BPA02","22","sensorimotor",0.403071701526642,0.069612339138985,"no","1",20,"control",2,1,2,"read_control","climate","Netherlands"
"BPA02","43","value",0.267860740423203,0.324619710445404,"no","1",1,"control",2,3,3,"read_control","health","Netherlands"
"BPA02","43","auditory",0.267860740423203,0.062183432281017,"no","1",1,"control",2,3,3,"read_control","health","Netherlands"
"BPA02","43","sensorimotor",0.267860740423203,0.164625525474548,"no","1",1,"control",2,3,3,"read_control","health","Netherlands"
"BPA02","5","value",0.338968276977539,0.413298547267914,"no","1",18,"control",4,3,4,"read_control","health","Netherlands"
"BPA02","5","auditory",0.338968276977539,0.023163514211774,"no","1",18,"control",4,3,4,"read_control","health","Netherlands"
"BPA02","5","sensorimotor",0.338968276977539,0.136880859732628,"no","1",18,"control",4,3,4,"read_control","health","Netherlands"
