"article_cond","SID","article_number","exclude_item","topic","n_words","msg_rel_self","msg_rel_social","msg_share_broad","msg_share_narrow"
"control","BB-W1-0411",12,0,"climate",NA,100,100,0,86
"control","BB-W1-0418",10,0,"climate",NA,100,100,84,84
"control","BB-W1-0418",15,0,"climate",NA,0,0,0,0
"control","BB-W1-0418",19,0,"climate",NA,100,51,50,50
"control","BB-W1-0418",22,0,"climate",NA,100,100,0,58
"control","BB-W1-0418",26,0,"climate",NA,100,100,93,75
"control","BB-W1-0432",6,0,"climate",NA,60,60,40,50
"control","BB-W1-0432",9,0,"climate",NA,5,5,1,5
"control","BB-W1-0432",20,0,"climate",NA,5,5,1,1
"control","BB-W1-0432",21,0,"climate",NA,10,10,1,10
"control","BB-W1-0432",25,0,"climate",NA,60,60,40,50
"control","BB-W1-0438",1,0,"climate",NA,50,49,0,0
"control","BB-W1-0438",5,0,"climate",NA,21,20,0,0
"control","BB-W1-0438",10,0,"climate",NA,49,50,0,0
"control","BB-W1-0438",17,0,"climate",NA,52,52,0,0
"control","BB-W1-0438",26,0,"climate",NA,67,68,0,0
"control","BB-W1-0443",5,0,"climate",NA,51,0,0,0
"control","BB-W1-0443",8,0,"climate",NA,55,66,72,99
"control","BB-W1-0443",11,0,"climate",NA,51,0,0,0
"control","BB-W1-0443",18,0,"climate",NA,31,40,20,100
"control","BB-W1-0443",23,0,"climate",NA,100,0,0,0
"control","BB-W1-0446",3,0,"climate",NA,76,73,72,73
"control","BB-W1-0446",8,0,"climate",NA,95,94,82,81
"control","BB-W1-0446",10,0,"climate",NA,83,82,82,76
"control","BB-W1-0446",19,0,"climate",NA,90,91,90,90
"control","BB-W1-0446",21,0,"climate",NA,100,100,88,88
"control","BB-W1-0450",2,0,"climate",NA,100,100,100,100
"control","BB-W1-0450",5,0,"climate",NA,100,100,100,100
"control","BB-W1-0450",10,0,"climate",NA,100,100,100,100
"control","BB-W1-0450",13,0,"climate",NA,100,100,96,100
"control","BB-W1-0450",21,0,"climate",NA,100,100,100,100
"control","BB-W1-0453",4,0,"climate",NA,10,10,0,0
"control","BB-W1-0453",5,0,"climate",NA,15,25,0,5
"control","BB-W1-0453",7,0,"climate",NA,10,35,0,2
"control","BB-W1-0453",19,0,"climate",NA,3,10,0,0
"control","BB-W1-0453",20,0,"climate",NA,10,20,0,0
"control","BB-W1-0455",3,0,"climate",NA,20,20,0,10
"control","BB-W1-0455",12,0,"climate",NA,25,50,0,5
"control","BB-W1-0455",13,0,"climate",NA,15,25,0,0
"control","BB-W1-0455",14,0,"climate",NA,20,20,0,10
"control","BB-W1-0455",24,0,"climate",NA,75,75,0,60
"control","BB-W1-0467",1,0,"climate",NA,0,0,0,0
"control","BB-W1-0467",11,0,"climate",NA,5,5,0,5
"control","BB-W1-0467",12,0,"climate",NA,0,0,0,0
"control","BB-W1-0467",17,0,"climate",NA,10,10,0,5
"control","BB-W1-0467",21,0,"climate",NA,5,5,0,5
"control","BB-W1-0469",6,0,"climate",NA,83,80,84,77
"control","BB-W1-0469",13,0,"climate",NA,73,73,78,68
"control","BB-W1-0469",14,0,"climate",NA,80,78,81,70
"control","BB-W1-0469",23,0,"climate",NA,80,80,80,74
"control","BB-W1-0469",24,0,"climate",NA,88,80,85,81
"control","BB-W1-0487",1,0,"climate",NA,90,80,50,65
"control","BB-W1-0487",3,0,"climate",NA,96,96,50,90
"control","BB-W1-0487",11,0,"climate",NA,70,60,50,60
"control","BB-W1-0487",17,0,"climate",NA,100,90,70,90
"control","BB-W1-0487",21,0,"climate",NA,75,75,70,80
"control","BB-W1-0488",2,0,"climate",NA,40,41,7,34
"control","BB-W1-0488",9,0,"climate",NA,71,71,7,43
"control","BB-W1-0488",13,0,"climate",NA,36,36,5,14
"control","BB-W1-0488",17,0,"climate",NA,65,65,3,25
"control","BB-W1-0488",18,0,"climate",NA,73,76,27,62
"control","BB-W1-0492",3,0,"climate",NA,90,90,10,50
"control","BB-W1-0492",12,0,"climate",NA,90,90,10,50
"control","BB-W1-0492",14,0,"climate",NA,25,25,5,51
"control","BB-W1-0492",22,0,"climate",NA,70,50,20,50
"control","BB-W1-0492",25,0,"climate",NA,30,30,0,30
"control","BB-W1-0503",2,0,"climate",NA,81,71,45,71
"control","BB-W1-0503",10,0,"climate",NA,95,95,24,86
"control","BB-W1-0503",18,0,"climate",NA,93,93,55,82
"control","BB-W1-0503",21,0,"climate",NA,82,82,35,65
"control","BB-W1-0503",24,0,"climate",NA,96,96,56,87
"control","BB-W1-0508",1,0,"climate",NA,33,0,0,0
"control","BB-W1-0508",6,0,"climate",NA,28,6,0,0
"control","BB-W1-0508",9,0,"climate",NA,24,23,0,31
"control","BB-W1-0508",14,0,"climate",NA,23,0,0,0
"control","BB-W1-0508",15,0,"climate",NA,31,9,0,0
"control","BB-W1-0527",1,0,"climate",NA,40,85,65,75
"control","BB-W1-0527",3,0,"climate",NA,85,80,85,90
"control","BB-W1-0527",4,0,"climate",NA,65,60,60,70
"control","BB-W1-0527",18,0,"climate",NA,75,80,60,70
"control","BB-W1-0527",22,0,"climate",NA,95,95,70,90
"control","BB-W1-0550",3,0,"climate",NA,33,39,1,32
"control","BB-W1-0550",7,0,"climate",NA,13,36,1,21
