"SID","article_cond","article_number","topic","msg_rel_self","msg_rel_social","LiveShare","n_articles","sharing_type","msg_share","sharing_type_key","comment","Article.Title","Source.URL","Topic","check","n_words"
"s010","self",71,"health",60,90,0,18,1,10,"msg_share_broad","Because I have a good friend that has sleep apnea and uses a machine","Sleep Apnea Can Have Deadly Consequences","https://www.nytimes.com/2019/05/27/well/mind/sleep-apnea-can-have-deadly-consequences.html","wellness",0,14
"s010","control",89,"climate",60,60,0,18,1,10,"msg_share_broad","about the us involvement in climate change initiatives world wide","U.S. Pressure Blocks Declaration on Climate Change at Arctic Talks","https://www.nytimes.com/2019/05/07/climate/us-arctic-climate-change.html","climate",0,10
"s010","self",32,"health",80,10,0,18,1,10,"msg_share_broad","Because I have a child and eating healthy is important to me.","Do Parents Make Kids Fat?","https://www.nytimes.com/2018/01/08/well/family/do-parents-make-kids-fat.html","wellness",0,12
"s010","control",10,"climate",80,10,0,18,1,10,"msg_share_broad","about the algal blooms that are effecting florida and their economy","A Toxic Tide Is Killing Florida Wildlife","https://www.nytimes.com/2018/07/30/climate/florida-red-tide-algae.html","climate",0,11
"s010","other",75,"health",80,80,0,18,1,10,"msg_share_broad","Because it matters to everyone and the bad health consequences of drinking sugary drinks effects us all","Sugary Drinks Tied to Shorter Life Span","https://www.nytimes.com/2019/03/21/well/eat/sugary-drinks-tied-to-shorter-life-span.html","wellness",0,17
"s010","self",107,"climate",60,40,0,18,1,10,"msg_share_broad","Because I think a lot of the recycling agenda is all a scam","Your Recycling Gets Recycled, Right? Maybe, or Maybe Not","https://www.nytimes.com/2018/05/29/climate/recycling-landfills-plastic-papers.html","climate",0,13
"s010","other",55,"health",60,60,0,18,1,0,"msg_share_broad","Because I know people who are dealing with this and trying to get their children to eat healthier","How to Break Out of the Children’s Menu Trap","https://www.nytimes.com/2019/10/23/well/eat/Children-food-health.html","wellness",0,18
"s010","control",67,"climate",60,70,0,18,1,10,"msg_share_broad","about younger people protesting the governments lack of action on climate change","Protesting Climate Change, Young People Take to Streets in a Global Strike","https://www.nytimes.com/2019/09/20/climate/global-climate-strike.html","climate",0,12
"s011","self",29,"climate",70,70,0,6,1,0,"msg_share_broad","climate change affects everyone. If businesses are suffering from the effects of climate change and producing power that cost will go towards consumers like me; someone has to pay for it.","Companies See Climate Change Hitting Their Bottom Lines in the Next 5 Years","https://www.nytimes.com/2019/06/04/climate/companies-climate-change-financial-impact.html","climate",0,31
"s011","self",42,"health",70,60,0,6,1,0,"msg_share_broad","I think this research is interesting. I feel like I walk much slower when in groups or with my partner as well. When I'm alone I tend to walk quickly.","Faster. Slower. How We Walk Depends on Who We Walk With, and Where We Live.","https://www.nytimes.com/2018/09/19/well/move/faster-slower-how-we-walk-depends-on-who-we-walk-with-and-where-we-live.html","wellness",0,30
"s011","control",66,"climate",70,60,0,6,1,0,"msg_share_broad","It's about which is more eco-friendly paper or plastic bags. Plastic bags are the winner although they take a long time to decompose.","Plastic Bags, or Paper? Here’s What to Consider When You Hit the Grocery Store","https://www.nytimes.com/2019/03/29/climate/plastic-paper-shopping-bags.html","climate",0,24
"s011","other",19,"health",60,100,0,6,1,0,"msg_share_broad","I have some family members who smoke so this could be a good eye-opener for them that smoking and being unfit are both really harmful in the long run","Being Fit May Be as Good for You as Not Smoking","https://www.nytimes.com/2018/10/31/well/move/being-fit-may-be-as-good-for-you-as-not-smoking.html","wellness",0,30
"s011","self",26,"climate",60,50,0,6,1,0,"msg_share_broad","I personally have a master's in a stem field and can empathize with the scientists. it's unfortunate that people can make these claims and have no real knowledge or concrete sources they are pulling from.","Climate Change Denialists Say Polar Bears Are Fine. Scientists Are Pushing Back.","https://www.nytimes.com/2018/04/10/climate/polar-bears-climate-deniers.html","climate",0,35
"s011","other",23,"health",100,100,0,6,1,0,"msg_share_broad","I have a peloton bike and know other people that do. It matters that they need to incorporate more weight-bearing exercise if they want to maintain bone density.","Can Low-Impact Sports Like Cycling Be Putting Your Bones at Risk","https://www.nytimes.com/2019/01/30/well/move/can-low-impact-sports-like-cycling-be-putting-your-bones-at-risk.html","wellness",0,29
"s012","other",85,"climate",70,70,0,4,1,70,"msg_share_broad","Climate change effects us all. The article matters because people should read it and stay informed about climate change","This Olympic Skier Wants to Save the World’s Snow","https://www.nytimes.com/2018/02/07/climate/climate-change-skiing.html","climate",0,19
"s012","self",34,"health",90,90,0,4,1,90,"msg_share_broad","It matters to me because I love learning things about my health. Anything that can help me understand and keep me healthy is worth reading.","Does a ‘Strong’ Immune System Ward Off Colds and Flu?","https://www.nytimes.com/2017/12/29/well/live/does-a-strong-immune-system-ward-off-colds-and-flu.html","wellness",0,25
"s012","other",7,"climate",90,90,0,4,1,90,"msg_share_broad","It should matter because most people I know live where there are wildfires every year.","A Forecast for a Warming World Learn to Live With Fire","https://www.nytimes.com/2019/10/24/climate/california-wildfires-climate-change.html","climate",0,15
"s012","control",64,"health",60,60,0,4,1,60,"msg_share_broad","Dogs seem to sleep just fine with humans. More so when the dog is off the bed but inside the same room dogs and humans sleep well together.","Out of the Doghouse, Into the Bed","https://www.nytimes.com/2018/03/13/well/family/dog-cat-pets-sleep-bed-insomnia.html","wellness",0,28
"s013","control",51,"climate",40,30,0,3,1,10,"msg_share_broad","Researchers are noticing that flood prone areas such as those in the aftermath of Katrina and coastlines elsewhere in the country have the highest rates of new construction which will become a problem when Future large storms or climate change and rising tides threaten to move the coastline inwards. However the people doing the building and the financing claim that this is going to be just fine.","Homes Are Being Built the Fastest in Many Flood-Prone Areas, Study Finds","https://www.nytimes.com/2019/07/31/climate/climate-change-new-homes-flooding.html","climate",0,67
"s013","other",73,"health",30,0,0,3,1,0,"msg_share_broad","It doesn't particularly except for the fact that I've gone through a few skin infections recently.","Statins Tied to Risk of Skin Infections","https://www.nytimes.com/2019/11/04/well/live/statins-tied-to-risk-of-skin-infections.html","wellness",0,16
"s013","self",72,"climate",60,10,0,3,1,0,"msg_share_broad","After just reading the first line the fact that we're leaching off of the infrastructure in other countries to power our military bases purely disgusts me. Aside from disdain for eternal imperialism and colonialism I find that I agree with the person cited at the end of the article who claims that climate change is the greatest threat to humanity.","Solar Power Is Burning Bright. But It’s Hardly Twilight for Fossil Fuels.","https://www.nytimes.com/2018/04/05/climate/solar-energy.html","climate",0,60
"s014","self",80,"health",100,100,0,7,1,30,"msg_share_broad","This article matters because it is relevant to me. I have constantly being trying to lose weight and have tried most diets. Calorie counting is the hardest for me because I feel overwhelmed and lose interest quickly.","The Key to Weight Loss Is Diet Quality, Not Quantity, a New Study Finds","https://www.nytimes.com/2018/02/20/well/eat/counting-calories-weight-loss-diet-dieting-low-carb-low-fat.html","wellness",0,37
"s014","control",35,"climate",80,80,0,7,1,90,"msg_share_broad","This article is about the difficulties the EU is having coming to an agreement on climate change and what to do about it.","E.U. Leaders Fail to Strengthen Climate Target","https://www.nytimes.com/2019/06/20/climate/europe-carbon-neutral.html","climate",0,23
"s014","other",101,"health",100,100,0,7,1,90,"msg_share_broad","This matters to people I know because the information is surprising and people might not know. It is the opposite of what we have been taught.","White Meat vs. Red Meat and Cholesterol Levels","https://www.nytimes.com/2019/06/11/well/eat/white-meat-vs-red-meat-and-cholesterol-levels.html","wellness",0,26
"s014","self",26,"climate",80,80,0,7,1,50,"msg_share_broad","Climate change is important to me overall. Additionally I get very frustrated when misinformation is published and shared and becomes mainstream for some. .","Climate Change Denialists Say Polar Bears Are Fine. Scientists Are Pushing Back.","https://www.nytimes.com/2018/04/10/climate/polar-bears-climate-deniers.html","climate",0,23
