"SID","article_cond","article_number","topic","n_articles","msg_rel_self","msg_rel_social","msg_share","sharing_type","sharing_type_key","sharing_behavior","n_words"
"s048","other",69,"climate",5,40,40,0,1,"msg_share_broad",0,28
"s048","control",3,"health",5,30,30,0,1,"msg_share_broad",0,17
"s049","control",18,"climate",6,60,60,40,1,"msg_share_broad",0,14
"s049","self",91,"health",6,20,20,10,1,"msg_share_broad",0,24
"s049","self",69,"climate",6,10,10,0,1,"msg_share_broad",0,18
"s049","other",30,"health",6,80,70,70,1,"msg_share_broad",0,14
"s049","control",56,"climate",6,80,70,80,1,"msg_share_broad",0,22
"s049","other",5,"health",6,70,70,80,1,"msg_share_broad",0,20
"s050","other",4,"climate",3,100,90,0,1,"msg_share_broad",0,22
"s050","control",45,"health",3,100,100,70,1,"msg_share_broad",0,14
"s050","self",81,"climate",3,100,100,100,1,"msg_share_broad",0,29
"s051","self",37,"climate",8,80,70,20,1,"msg_share_broad",0,33
"s051","other",3,"health",8,60,90,20,1,"msg_share_broad",0,40
"s051","control",44,"climate",8,60,40,20,1,"msg_share_broad",0,30
"s051","self",36,"health",8,30,80,20,1,"msg_share_broad",0,36
"s051","control",14,"climate",8,10,20,10,1,"msg_share_broad",0,48
"s051","other",39,"health",8,30,70,10,1,"msg_share_broad",0,39
"s051","other",86,"climate",8,70,70,40,1,"msg_share_broad",0,61
"s051","self",23,"health",8,20,20,20,1,"msg_share_broad",0,37
"s052","control",29,"climate",7,70,80,60,1,"msg_share_broad",0,25
"s052","other",83,"health",7,60,100,40,1,"msg_share_broad",0,36
"s052","self",24,"climate",7,40,40,0,1,"msg_share_broad",0,19
"s052","self",57,"health",7,100,60,40,1,"msg_share_broad",0,20
"s052","other",31,"climate",7,30,60,60,1,"msg_share_broad",0,22
"s052","control",25,"health",7,60,60,40,1,"msg_share_broad",0,20
"s052","self",66,"climate",7,70,40,40,1,"msg_share_broad",0,21
"s053","self",11,"climate",11,30,40,0,1,"msg_share_broad",0,32
"s053","other",74,"health",11,60,70,0,1,"msg_share_broad",0,22
"s053","control",89,"climate",11,0,10,0,1,"msg_share_broad",0,14
"s053","other",30,"health",11,60,60,0,1,"msg_share_broad",0,13
"s053","self",15,"climate",11,0,0,0,1,"msg_share_broad",0,14
"s053","control",75,"health",11,60,90,20,1,"msg_share_broad",0,18
"s053","self",88,"climate",11,20,20,0,1,"msg_share_broad",0,20
"s053","control",91,"health",11,10,20,10,1,"msg_share_broad",0,13
"s053","other",98,"climate",11,10,20,0,1,"msg_share_broad",0,22
"s053","self",3,"health",11,0,60,10,1,"msg_share_broad",0,13
"s053","control",87,"health",11,40,60,0,1,"msg_share_broad",0,17
"s054","self",2,"climate",11,50,50,0,1,"msg_share_broad",0,9
"s054","other",42,"health",11,50,50,0,1,"msg_share_broad",0,7
"s054","self",110,"climate",11,10,10,0,1,"msg_share_broad",0,6
"s054","control",16,"climate",11,50,50,10,1,"msg_share_broad",0,10
"s054","other",81,"climate",11,20,20,10,1,"msg_share_broad",0,11
"s054","self",19,"health",11,30,30,0,1,"msg_share_broad",0,7
"s054","other",26,"climate",11,30,30,0,1,"msg_share_broad",0,7
"s054","self",95,"health",11,20,50,0,1,"msg_share_broad",0,7
"s055","other",64,"health",8,100,100,0,1,"msg_share_broad",0,19
"s055","self",79,"climate",8,90,90,0,1,"msg_share_broad",0,22
"s055","control",57,"health",8,10,50,0,1,"msg_share_broad",0,13
"s055","other",11,"climate",8,40,40,0,1,"msg_share_broad",0,20
"s055","control",100,"health",8,0,30,0,1,"msg_share_broad",0,6
"s055","self",62,"climate",8,20,20,0,1,"msg_share_broad",0,17
"s055","self",39,"health",8,100,80,0,1,"msg_share_broad",0,9
"s055","other",98,"climate",8,30,30,0,1,"msg_share_broad",1,28
"s056","self",106,"climate",8,80,80,0,1,"msg_share_broad",0,20
"s056","control",52,"health",8,100,70,0,1,"msg_share_broad",0,11
"s056","other",96,"climate",8,20,50,0,1,"msg_share_broad",0,24
"s056","self",78,"health",8,60,80,0,1,"msg_share_broad",0,42
"s056","other",40,"climate",8,40,50,0,1,"msg_share_broad",0,25
"s056","control",76,"health",8,40,0,0,1,"msg_share_broad",0,18
"s056","control",51,"climate",8,0,0,0,1,"msg_share_broad",0,33
